PM0-45944,4067469,4067469,+0,RPOE-MONOMER
PM0-9350,4117381,4117381,+0,RPOS-MONOMER
PM0-45186,2062625,2062625,+0,RPOD-MONOMER
PM0-44646,872192,872192,+0,RPOD-MONOMER
PM0-44933,1513439,1513439,+0,RPOE-MONOMER
PM0-45658,3285298,3285298,+0,RPOD-MONOMER
PM0-44479,452910,452910,+0,RPOH-MONOMER
PM0-45607,3197720,3197720,+0,RPOE-MONOMER
PM0-46112,4628723,4628723,+0,RPOH-MONOMER
PM0-45481,2939743,2939743,+0,RPOD-MONOMER
PM0-10449,1986025,1986025,+0,RPOD-MONOMER
PM0-46011,4331500,4331500,+0,RPOD-MONOMER
PM0-44544,631214,631214,+0,RPOE-MONOMER
PM0-44693,1027020,1027020,+0,RPOD-MONOMER
PM0-10471,494041,494041,+0,RPON-MONOMER
PM00566,12144,12144,+0,RPOH-MONOMER
PM0-4445,3245665,3245665,+0,RPOE-MONOMER
PM0-44353,87947,87947,+0,RPOH-MONOMER
PM0-45649,3265248,3265248,+0,RPOD-MONOMER
PM0-8733,1120255,1120255,+0,RPOH-MONOMER
PM00235,847270,847270,+0,RPON-MONOMER
PM0-44503,513198,513198,+0,RPOD-MONOMER
PM0-45691,3364865,3364865,+0,RPOD-MONOMER
PM787,2599193,2599193,+0,RPON-MONOMER
PM0-45138,1948660,1948660,+0,RPOD-MONOMER
PM0-45594,3170275,3170275,+0,RPOD-MONOMER
PM00026,940046,940046,+0,RPOD-MONOMER
PM00480,3963710,3963710,+0,RPOD-MONOMER
PM0-1121,1327308,1327308,+0,RPOS-MONOMER
PM0-1121,1327308,1327308,+0,RPOD-MONOMER
PM0-44778,1202178,1202178,+0,RPOD-MONOMER
PM0-45437,2757000,2757000,+0,RPOD-MONOMER
PM0-45541,3087771,3087771,+0,RPOH-MONOMER
PM0-45834,3714502,3714502,+0,RPOD-MONOMER
PM00163,4434652,4434652,+0,RPOD-MONOMER
PM0-45885,3841944,3841944,+0,RPOD-MONOMER
PM0-45574,3144775,3144775,+0,RPOD-MONOMER
PM00614,461062,461062,+0,RPOH-MONOMER
PM00558,765149,765149,+0,RPOD-MONOMER
PM00670,2816719,2816719,+0,RPOD-MONOMER
PM0-45146,1977622,1977622,+0,RPOD-MONOMER
PM0-45459,2861591,2861591,+0,RPOH-MONOMER
PM0-7661,2510757,2510757,+0,RPOD-MONOMER
PM0-46124,2560075,2560075,+0,RPOS-MONOMER
PM00137,3651959,3651959,+0,RPOD-MONOMER
PM0-45297,2362547,2362547,+0,RPOD-MONOMER
PM0-44760,1180569,1180569,+0,RPOH-MONOMER
PM0-45245,2223691,2223691,+0,RPOE-MONOMER
PM00035,4054394,4054394,+0,RPOD-MONOMER
PM0-9688,1878018,1878018,+0,RPOD-MONOMER
PM0-45244,2223701,2223701,+0,RPOE-MONOMER
PM0-2841,1542187,1542187,+0,RPOS-MONOMER
PM0-45884,3841903,3841903,+0,RPOE-MONOMER
PM0-7961,65803,65803,+0,RPOD-MONOMER
PM0-44581,682705,682705,+0,RPOD-MONOMER
PM0-44569,675929,675929,+0,RPOE-MONOMER
PM00657,3213619,3213619,+0,RPOD-MONOMER
PM0-10488,3326886,3326886,+0,RPOD-MONOMER
PM0-8737,517714,517714,+0,RPOH-MONOMER
PM0-45912,4000865,4000865,+0,RPOD-MONOMER
PM0-44651,889108,889108,+0,RPOD-MONOMER
PM0-45216,2149100,2149100,+0,RPOD-MONOMER
PM0-44685,997544,997544,+0,RPOE-MONOMER
PM0-44937,1515260,1515260,+0,RPOD-MONOMER
PM334,1386868,1386868,-1,RPOD-MONOMER
PM0-8541,902992,902992,+0,RPOD-MONOMER
PM0-45183,2057899,2057899,+0,RPOE-MONOMER
PM0-46079,4535726,4535726,+0,RPOE-MONOMER
PM0-45081,1868267,1868267,+0,RPOE-MONOMER
PM0-45615,3213518,3213518,+0,RPOD-MONOMER
PM00247,3534707,3534707,+0,RPOD-MONOMER
PM0-9963,189712,189712,+0,RPOD-MONOMER
PM338,34218,34218,+0,RPOD-MONOMER
PM0-45872,3814008,3814008,+0,EG11355-MONOMER
PM0-45872,3814008,3814008,+0,RPOH-MONOMER
PM0-9799,3469746,3469746,+0,RPOD-MONOMER
PM0-4527,57336,57336,+0,RPOE-MONOMER
PM0-44926,1500470,1500470,+0,RPOD-MONOMER
PM00154,3925054,3925054,+0,RPOD-MONOMER
PM0-45024,1737879,1737879,+0,RPOE-MONOMER
PM0-44500,507488,507488,+0,RPOD-MONOMER
PM0-45343,2465759,2465759,+0,RPOE-MONOMER
PM0-8728,4349708,4349708,+0,RPOD-MONOMER
PM0-36142,2313717,2313717,+0,RPOD-MONOMER
PM0-10361,4484162,4484162,+0,RPOD-MONOMER
PM0-44491,490097,490097,+0,RPOD-MONOMER
PM00079,2693611,2693611,+0,RPOD-MONOMER
PM00475,3948313,3948313,+0,RPOD-MONOMER
PM0-44363,148910,148910,+0,RPOD-MONOMER
PM0-46155,1903483,1903483,+0,RPOD-MONOMER
PM0-36136,4603775,4603775,+0,RPOD-MONOMER
PM0-45996,4277858,4277858,+0,RPOE-MONOMER
PM0-45921,4007046,4007046,+0,RPOD-MONOMER
PM0-10387,250880,250880,+0,RPOS-MONOMER
PM0-10387,250880,250880,+0,RPOD-MONOMER
PM0-45303,2379636,2379636,+0,RPOD-MONOMER
PM0-45214,2149101,2149101,+0,RPOD-MONOMER
PM0-44536,605628,605628,+0,RPOD-MONOMER
PM0-45848,3749983,3749983,+0,RPOD-MONOMER
PM0-9546,2270334,2270334,+0,RPOD-MONOMER
PM0-1341,4033262,4033262,+0,RPOD-MONOMER
PM0-1341,4033262,4033262,+0,RPOH-MONOMER
PM0-45225,2181823,2181823,+0,RPOE-MONOMER
PM0-2083,3372788,3372788,+0,RPOD-MONOMER
PM0-10188,4423048,4423048,+0,RPOD-MONOMER
PM0-5301,4212182,4212182,+0,RPOD-MONOMER
PM0-10233,1599281,1599281,+0,RPOD-MONOMER
PM0-46064,4502043,4502043,+0,RPOH-MONOMER
PM0-1349,223485,223485,+0,RPOD-MONOMER
PM0-1349,223485,223485,+0,RPOH-MONOMER
PM0-45915,4002281,4002281,+0,RPOD-MONOMER
PM0-44474,429754,429754,+0,RPOD-MONOMER
PM0-45670,3299351,3299351,+0,RPOE-MONOMER
PM00027,167442,167442,+0,RPOD-MONOMER
PM0-45557,3117281,3117281,+0,RPOD-MONOMER
PM0-10365,3520950,3520950,+0,RPOS-MONOMER
PM0-45532,3030992,3030992,+0,RPOH-MONOMER
PM0-45335,2453690,2453690,+0,RPOD-MONOMER
PM0-36156,1311722,1311722,+0,RPOD-MONOMER
PM00575,1194184,1194184,+0,RPOD-MONOMER
PM0-45159,1994934,1994934,+0,RPOD-MONOMER
PM0-45016,1717697,1717697,+0,RPOD-MONOMER
PM00550,1328842,1328842,+0,RPOD-MONOMER
PM0-45025,1737873,1737873,+0,RPOD-MONOMER
PM0-44831,1305373,1305373,+0,RPOD-MONOMER
PM0-46108,4619680,4619680,+0,RPOD-MONOMER
PM0-3921,4285618,4285618,+0,RPOD-MONOMER
PM0-45328,2429897,2429897,+0,RPOD-MONOMER
PM00537,2796558,2796558,+0,RPOD-MONOMER
